JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cpdwppjyx18g008bgxkg,,Completed,,2024-01-08T10:15:54.641715Z,2024-01-08T10:16:09.929Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwphjyx18g008bgxk0,,Completed,,2024-01-08T10:15:35.092481Z,2024-01-08T10:15:49.726Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwpcs2zy6g008p327g,,Completed,,2024-01-08T10:15:15.544963Z,2024-01-08T10:15:29.418Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwp7rmbjng00862wa0,,Completed,,2024-01-08T10:14:55.5985Z,2024-01-08T10:15:09.071Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwp2rja3gg00811810,,Completed,,2024-01-08T10:14:35.466958Z,2024-01-08T10:14:49.774Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwnxqbtqp0008fxqk0,,Completed,,2024-01-08T10:14:15.003825Z,2024-01-08T10:14:29.204Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwnrqyx18g008bgxhg,,Completed,,2024-01-08T10:13:54.351492Z,2024-01-08T10:14:08.937Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwnk6mbjng00862w8g,,Completed,,2024-01-08T10:13:32.836937Z,2024-01-08T10:13:48.036Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwkj6mbjng00862w20,,Completed,,2024-01-08T10:09:12.790369Z,2024-01-08T10:13:25.771Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwgskbtqp0008fxpz0,,Completed,,2024-01-08T10:03:18.296284Z,2024-01-08T10:09:07.118Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwen2yx18g008bgwq0,,Completed,,2024-01-08T09:58:45.025167Z,2024-01-08T10:03:13.394Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdweg2mbjng00862vfg,,Completed,,2024-01-08T09:58:24.968799Z,2024-01-08T09:58:39.309Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwd6mbtqp0008fxpsg,,Completed,,2024-01-08T09:55:38.924073Z,2024-01-08T09:58:18.934Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwd1wyx18g008bgwag,,Completed,,2024-01-08T09:55:19.783859Z,2024-01-08T09:55:35.202Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwcvv2zy6g008p30e0,,Completed,,2024-01-08T09:54:55.610637Z,2024-01-08T09:55:10.042Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwcptja3gg008116fg,,Completed,,2024-01-08T09:54:35.692283Z,2024-01-08T09:54:50.552Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwchtmbjng00862v80,,Completed,,2024-01-08T09:54:15.146513Z,2024-01-08T09:54:29.693Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwcc12zy6g008p30ag,,Completed,,2024-01-08T09:53:53.071659Z,2024-01-08T09:54:08.095Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwc702zy6g008p309g,,Completed,,2024-01-08T09:53:32.996326Z,2024-01-08T09:53:47.76Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwc28ja3gg008116ag,,Completed,,2024-01-08T09:53:13.380485Z,2024-01-08T09:53:28.238Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwbxfbtqp0008fxpqg,,Completed,,2024-01-08T09:52:53.781012Z,2024-01-08T09:53:08.555Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwbrfyx18g008bgw50,,Completed,,2024-01-08T09:52:33.563068Z,2024-01-08T09:52:49.098Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwbke2zy6g008p305g,,Completed,,2024-01-08T09:52:13.487477Z,2024-01-08T09:52:28.52Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdwbed2zy6g008p302g,,Completed,,2024-01-08T09:51:53.547381Z,2024-01-08T09:52:08.266Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdwa20mbjng00862tt0,,Completed,,2024-01-08T09:48:56.716373Z,2024-01-08T09:51:46.643Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdw46gmbjng00862t00,,Completed,,2024-01-08T09:36:26.244958Z,2024-01-08T09:48:52.191Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdw2082zy6g008p2ydg,,Completed,,2024-01-08T09:31:46.061275Z,2024-01-08T09:36:19.627Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsjvvyx18g008bghwg,,Completed,,2024-01-08T06:42:55.661932Z,2024-01-08T09:31:41.967Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsjesmbjng00862g5g,,Completed,,2024-01-08T06:42:03.887886Z,2024-01-08T06:42:50.715Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsj70ja3gg00810wzg,,Completed,,2024-01-08T06:41:32.511202Z,2024-01-08T06:41:58.871Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsj20ja3gg00810wyg,,Completed,,2024-01-08T06:41:12.834505Z,2024-01-08T06:41:26.974Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdshxfmbjng00862g4g,,Completed,,2024-01-08T06:40:53.574686Z,2024-01-08T06:41:08.108Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdshrqmbjng00862g30,,Completed,,2024-01-08T06:40:34.14331Z,2024-01-08T06:40:48.368Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdshkpbtqp0008fxe00,,Completed,,2024-01-08T06:40:14.4447Z,2024-01-08T06:40:28.918Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdshenmbjng00862g10,,Completed,,2024-01-08T06:39:54.548272Z,2024-01-08T06:40:08.797Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdsgyvja3gg00810wr0,,Completed,,2024-01-08T06:38:51.396917Z,2024-01-08T06:39:48.443Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsgt3prheg008rzb50,,Completed,,2024-01-08T06:38:32.21134Z,2024-01-08T06:38:46.887Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsgn2mbjng00862fy0,,Completed,,2024-01-08T06:38:12.669734Z,2024-01-08T06:38:27.588Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdsg912zy6g008p2pp0,,Completed,,2024-01-08T06:37:24.467227Z,2024-01-08T06:38:07.288Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsg00prheg008rzb1g,,Completed,,2024-01-08T06:36:48.97258Z,2024-01-08T06:37:17.986Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsfv7yx18g008bghh0,,Completed,,2024-01-08T06:36:29.127253Z,2024-01-08T06:36:43.725Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdsfne2zy6g008p2pkg,,Completed,,2024-01-08T06:36:05.58831Z,2024-01-08T06:36:22.4Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsfgebtqp0008fxdng,,Completed,,2024-01-08T06:35:46.066649Z,2024-01-08T06:36:01.326Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsfbnprheg008rzaz0,,Completed,,2024-01-08T06:35:26.410979Z,2024-01-08T06:35:41.872Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
cpdsf6mja3gg00810whg,,Completed,,2024-01-08T06:35:06.342166Z,2024-01-08T06:35:21.164Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,3
cpdsf1m2zy6g008p2pj0,,Completed,,2024-01-08T06:34:46.78793Z,2024-01-08T06:35:00.929Z,circuit-runner,,ibm_kyoto,ibm-q/open/main,spsa_001,2
