JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cmdtt34nktricigc9ap0,,Completed,,2024-01-08T11:37:48.232134Z,2024-01-08T11:38:12.435119Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtspghu2povi5kvumg,,Completed,,2024-01-08T11:37:10.630275Z,2024-01-08T11:37:45.817034Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtsin4mi97k7j9c5ig,,Completed,,2024-01-08T11:36:42.575507Z,2024-01-08T11:37:08.857461Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtsbn4mi97k7j9c4bg,,Completed,,2024-01-08T11:36:14.282667Z,2024-01-08T11:36:38.531623Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdts5ohu2povi5kvr40,,Completed,,2024-01-08T11:35:51.716641Z,2024-01-08T11:36:09.955987Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdts23rga5j1u9jajo0,,Completed,,2024-01-08T11:35:36.646815Z,2024-01-08T11:35:49.847773Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtrrtmtr96u82qigsg,,Completed,,2024-01-08T11:35:11.766199Z,2024-01-08T11:35:32.455582Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtrlimpoeld4mn4mtg,,Completed,,2024-01-08T11:34:46.513196Z,2024-01-08T11:35:10.05274Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtrg74mi97k7j9bvdg,,Completed,,2024-01-08T11:34:24.448841Z,2024-01-08T11:34:43.195567Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
cmdtrcdmtr96u82qie5g,,Completed,,2024-01-08T11:34:09.619446Z,2024-01-08T11:34:22.153391Z,circuit-runner,,ibmq_qasm_simulator,ibm-q/open/main,powell_sim_001,0
